,title,movieId,rating_avg
136,"7th Voyage of Sinbad, The (1958)",15765,4.4
137,8 1/2 (8½) (1963),17514,4.1
138,8 Heads in a Duffel Bag (1997),6012,3.0
139,8 Mile (2002),238210,3.3
140,8 Seconds (1994),816,3.0
141,8 Women (2002),16839,3.8
142,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),10878,3.3
143,800 Bullets (800 Balas) (2002),32392,2.5
144,84 Charing Cross Road (1987),16212,4.5
145,8MM (1999),45090,2.9
146,9 (2009),994798,3.6
147,9 1/2 Weeks (Nine 1/2 Weeks) (1986),37070,2.7
148,9/11 (2002),44943,5.0
149,96 Minutes (2011) ,94494,2.5
150,964 Pinocchio (1991),140852,1.0
151,99 francs (2007),59026,4.0
152,9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),69953,3.5
153,A Bad Moms Christmas (2017),179953,3.5
154,A Christmas Story Live! (2017),182727,2.0
155,A Cosmic Christmas (1977),149330,4.0
156,A Detective Story (2003),172875,5.0
157,A Dog's Purpose (2017),167380,4.5
158,A Flintstones Christmas Carol (1994),126088,5.0
159,A German Life (2016),175707,3.0
160,A Home at the End of the World (2004),8667,3.5
161,A Man Called Blade (1977),119828,3.0
162,A Man from Boulevard des Capucines (1987),146024,4.0
163,A Merry Friggin' Christmas (2014),119964,2.0
164,A Midsummer Night's Dream (2016),159779,4.0
165,A Million Ways to Die in the West (2014),1340916,3.0
166,A Most Wanted Man (2014),112940,4.5
167,A Perfect Day (2015),147410,5.0
168,A Pigeon Sat on a Branch Reflecting on Existence (2014),254596,4.0
169,A Plasticine Crow (1981),170597,5.0
170,A Quiet Place (2018),740116,2.8
171,A Silent Voice (2016),332582,4.0
172,A Story of Children and Film (2013),127172,3.5
173,A Street Cat Named Bob (2016),167732,3.5
174,A Very Murray Christmas (2015),148238,2.5
175,A Walk in the Woods (2015),127134,3.5
176,A Wrinkle in Time (2018),184987,3.0
177,"A-Team, The (2010)",1333973,3.1
178,A.I. Artificial Intelligence (2001),244720,3.3
179,"ABCs of Death, The (2012)",100397,3.5
180,ARQ (2016),163985,4.5
181,AVP: Alien vs. Predator (2004),149770,2.8
182,AVPR: Aliens vs. Predator - Requiem (2007),340806,2.6
183,"Abandoned, The (2006)",51666,2.0
184,Abbott and Costello Meet Frankenstein (1948),15712,3.8
185,Abduction (2011),90524,3.5
186,"Abominable Dr. Phibes, The (1971)",12585,3.8
187,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",3648,4.0
188,About Adam (2000),7724,3.8
189,About Last Night (2014),218744,2.2
190,About Last Night... (1986),20358,3.0
191,About Schmidt (2002),154570,3.2
192,About Time (2013),1565610,3.9
193,About a Boy (2002),236588,3.7
194,Above the Law (1988),8932,2.5
195,Above the Rim (1994),409,2.0
196,Abraham Lincoln: Vampire Hunter (2012),571242,2.8
197,Absence of Malice (1981),11414,3.2
198,"Absent-Minded Professor, The (1961)",18135,3.4
199,Absentia (2011),93819,3.5
200,Absolute Power (1997),17508,2.7
201,Absolutely Anything (2015),135885,3.0
202,"Abyss, The (1989)",69874,3.5
203,Accepted (2006),665252,2.9
204,"Accidental Spy, The (Dak miu mai shing) (2001)",27426,2.5
205,"Accidental Tourist, The (1988)",22320,3.6
206,"Accused, The (1988)",22325,3.7
207,Ace Ventura: Pet Detective (1994),55384,3.0
208,Ace Ventura: When Nature Calls (1995),1672,2.7
209,"Ace in the Hole (Big Carnival, The) (1951)",3736,3.0
210,Aces: Iron Eagle III (1992),8451,2.0
211,"Acid House, The (1998)",2765,3.5
212,Across the Hall (2009),86960,2.0
213,Across the Universe (2007),596090,4.0
214,"Act of Killing, The (2012)",100556,5.0
215,Act of Valor (2012),186594,3.8
216,Action Jackson (1988),11130,1.7
217,Adam and Eve (National Lampoon's Adam & Eve) (2005),103245,2.5
218,Adam's Apples (Adams æbler) (2005),142473,4.2
219,Adam's Rib (1949),28484,4.8
220,Adanggaman (2000),4449,2.0
221,Adaptation (2002),271492,3.9
222,Addams Family Reunion (1998),27075,3.0
223,Addams Family Values (1993),34440,3.1
224,"Addams Family, The (1991)",80712,3.3
225,Addicted to Love (1997),15410,2.7
226,"Addiction, The (1995)",304,1.5
227,"Adjustment Bureau, The (2011)",1784034,3.2
228,Admission (2013),406448,3.0
229,Adventureland (2009),1016010,3.3
230,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),147300,5.0
231,Adventures in Babysitting (1987),42660,3.3
232,Adventures in Plymptoons! (2011),178129,3.5
233,"Adventures of Baron Munchausen, The (1988)",58071,3.8
234,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",64470,3.5
235,"Adventures of Elmo in Grouchland, The (1999)",5772,1.5
236,"Adventures of Ford Fairlane, The (1990)",14386,3.0
237,"Adventures of Huck Finn, The (1993)",15228,2.5
238,"Adventures of Ichabod and Mr. Toad, The (1949)",11892,3.0
239,"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",95738,3.0
240,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",19922,3.9
241,Adventures of Mowgli: The Kidnapping (1968),172825,4.5
242,"Adventures of Pinocchio, The (1996)",4968,3.3
243,"Adventures of Pluto Nash, The (2002)",16569,2.3
244,"Adventures of Priscilla, Queen of the Desert, The (1994)",12420,3.6
245,"Adventures of Robin Hood, The (1938)",7520,4.0
246,"Adventures of Rocky and Bullwinkle, The (2000)",33786,2.2
247,"Adventures of Sebastian Cole, The (1998)",5532,3.2
248,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",67362,1.8
249,"Adventures of Tintin, The (2011)",1088952,3.5
250,Advise and Consent (1962),26078,5.0
251,Aelita: The Queen of Mars (Aelita) (1924),71999,4.5
252,Aeon Flux (2005),785106,2.8
253,"Affair of Love, An (Liaison pornographique, Une) (1999)",7710,4.8
254,"Affair of the Necklace, The (2001)",9918,3.2
255,"Affair to Remember, An (1957)",7456,3.9
256,Afflicted (2013),111551,3.5
257,Affliction (1997),7317,3.2
258,Afonya (1975),134041,4.0
259,Africa: The Serengeti (1994),4458,4.0
260,African Cats (2011),86593,2.5
261,"African Queen, The (1951)",32946,4.0
262,Afro Samurai (2007),139130,2.5
263,Afro Samurai: Resurrection (2009),66335,2.5
264,After Earth (2013),205760,1.0
265,After Hours (1985),51933,3.8
266,After Life (Wandafuru raifu) (1998),5248,4.2
267,After the Fox (Caccia alla volpe) (1966),10226,2.8
268,After the Sunset (2004),53808,3.6
269,After the Thin Man (1936),23502,2.8
270,After the Wedding (Efter brylluppet) (2006),50514,3.5
271,Afterglow (1997),6932,4.5
272,Against All Odds (1984),9618,2.3
273,Against the Ropes (2004),14630,2.0
274,"Age of Innocence, The (1993)",6180,3.5
275,Agent Cody Banks (2003),33120,1.9
276,Agent Cody Banks 2: Destination London (2004),7345,4.0
277,Agnes of God (1985),16255,3.7
278,"Agony and the Ecstasy, The (1965)",32139,4.0
279,Agora (2009),74624,4.0
280,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",56504,4.0
281,Aileen: Life and Death of a Serial Killer (2003),14342,3.5
282,Air America (1990),23046,2.8
283,Air Bud (1997),6368,2.4
284,Air Bud: Golden Receiver (1998),6456,2.0
285,Air Force One (1997),93264,3.3
286,"Air I Breathe, The (2007)",58078,3.0
287,"Air Up There, The (1994)",2484,2.3
288,Airborne (1993),33629,2.5
289,Airheads (1994),10738,2.8
290,Airplane II: The Sequel (1982),53048,3.2
291,Airplane! (1980),242817,3.9
292,Airport '77 (1977),10088,3.2
293,Airport (1970),7560,2.2
294,Airport 1975 (1974),5042,3.5
295,Akeelah and the Bee (2006),223545,3.8
296,Akira (1988),49686,3.7
297,Akira Kurosawa's Dreams (Dreams) (1990),18810,4.3
298,Aladdin (1992),107604,3.8
299,Aladdin and the King of Thieves (1996),13832,3.2
300,"Alamo, The (1960)",16168,3.4
301,Alan Partridge: Alpha Papa (2013),104078,4.0
302,Alaska (1996),1616,3.5
303,Alaska: Spirit of the Wild (1997),4459,4.0
304,Albatross (2011),91935,2.5
305,Albino Alligator (1996),2704,2.2
306,Alesha Popovich and Tugarin the Dragon (2004),165959,5.0
307,Alex Cross (2012),97742,1.5
308,Alex and Emma (2003),6493,2.0
309,Alexander (2004),89770,2.2
310,Alexander Nevsky (Aleksandr Nevskiy) (1938),15512,4.0
311,Alfie (1966),16764,3.2
312,Alfie (2004),26844,2.3
313,Ali (2001),40072,3.0
314,Ali G Indahouse (2002),82434,3.0
315,Ali Wong: Baby Cobra (2016),159161,4.5
316,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),13018,4.0
317,Alias Betty (Betty Fisher et autres histoires) (2001),5575,2.0
318,Alice (1990),13176,3.0
319,Alice (2009),72982,4.0
320,Alice (Neco z Alenky) (1988),53262,3.8
321,Alice Adams (1935),6020,3.5
322,Alice Doesn't Live Here Anymore (1974),26514,4.2
323,Alice Through the Looking Glass (2016),635252,2.0
324,Alice in Wonderland (1933),80748,4.0
325,Alice in Wonderland (1951),41280,3.4
326,Alice in Wonderland (2010),2094092,2.9
327,Alien (1979),177244,4.0
328,Alien Contamination (1980),6835,5.0
329,Alien Nation (1988),48113,3.1
330,Alien from L.A. (1988),6899,3.5
331,Alien: Covenant (2017),849920,2.8
332,Alien: Resurrection (1997),76050,2.9
333,Aliens (1986),151200,4.0
334,Alien³ (a.k.a. Alien 3) (1992),62040,3.1
335,Alive (1993),29250,3.2
336,All About Eve (1950),22224,4.2
337,All About Lily Chou-Chou (Riri Shushu no subete) (2001),5465,3.0
338,All About My Mother (Todo sobre mi madre) (1999),58577,4.2
339,All About the Benjamins (2002),10340,2.5
340,"All Dogs Christmas Carol, An (1998)",105540,4.5
341,All Dogs Go to Heaven (1989),31845,2.7
342,All Dogs Go to Heaven 2 (1996),6941,3.2
343,All Good Things (2010),164756,3.8
344,All Is Lost (2013),423816,3.6
345,All Over the Guy (2001),4722,3.0
346,All Quiet on the Western Front (1930),19270,4.3
347,All Roads Lead to Rome (2016),164375,1.5
348,All That Heaven Allows (1955),17676,4.2
349,All That Jazz (1979),17826,4.1
350,"All This, and Heaven Too (1940)",38164,4.0
351,All Watched Over by Machines of Loving Grace (2011),184950,4.2
352,All Yours (2016),158882,5.0
353,All is Bright (2013),106883,1.5
354,All of Me (1984),17220,2.5
355,All or Nothing (2002),17364,3.7
356,All the Boys Love Mandy Lane (2006),59738,3.0
357,All the King's Men (1949),7768,4.2
358,All the King's Men (2006),144978,3.0
359,All the President's Men (1976),183249,4.0
360,All the Pretty Horses (2000),8062,2.5
361,All the Real Girls (2003),12318,4.2
362,All the Right Moves (1983),10452,2.2
363,All the Vermeers in New York (1990),3531,5.0
364,All-Star Superman (2011),168828,4.2
365,Allan Quatermain and the Lost City of Gold (1987),16488,1.8
366,Allegro non troppo (1977),7304,4.0
367,Alles Inklusive (2014),176415,3.5
368,Alligator (1980),7575,2.0
369,"Allnighter, The (1987)",4488,1.5
370,Almost Famous (2000),323451,3.9
371,Almost Heroes (1998),3774,2.0
372,Almost an Angel (1990),26676,2.5
373,Aloha (2015),134528,0.5
374,Alone in the Dark (2005),31424,0.5
375,Alone in the Dark II (2008),62299,3.5
376,Along Came Polly (2004),172152,3.0
377,Along Came a Spider (2001),72046,3.1
378,Alpha (2018),185031,4.5
379,Alpha Dog (2007),403536,3.1
380,Alpha and Omega 3: The Great Wolf Games (2014),111146,4.5
381,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",2720,4.1
382,Altered (2006),61692,3.0
383,Altered States (1980),32991,3.6
384,Alvarez Kelly (1966),2896,3.0
385,Alvin and the Chipmunks (2007),168528,1.5
386,Alvin and the Chipmunks: Chipwrecked (2011),183342,1.0
387,Alvin and the Chipmunks: The Squeakquel (2009),219126,2.7
388,Always (1989),27384,2.8
389,Always Watching: A Marble Hornets Story (2015),140016,2.0
390,Amadeus (1984),93100,4.2
391,Amanda Knox (2016),164540,3.5
392,Amarcord (1973),14178,4.0
393,Amateur (1994),149,2.0
394,Amazing Grace (2006),51471,3.0
395,Amazing Grace and Chuck (1987),4078,4.0
396,"Amazing Panda Adventure, The (1995)",438,3.3
397,"Amazing Spider-Man, The (2012)",2865300,3.2
398,"Amazing Transparent Man, The (1960)",6836,3.5
399,Amazon Women on the Moon (1987),8158,4.2
400,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",596760,4.2
401,Amen. (2002),18123,3.8
402,Amer (2009),83601,0.5
403,America's Sweethearts (2001),83502,2.6
404,"American Astronaut, The (2001)",4777,2.5
405,American Beauty (1999),583032,4.1
406,American Buffalo (1996),806,1.5
407,"American Carol, An (2008)",62586,2.0
408,American Dreamz (2006),45106,3.0
409,American Drug War: The Last White Hope (2007),76751,3.0
410,American Fable (2017),169180,2.5
411,American Flyers (1985),6428,3.5
412,"American Friend, The (Amerikanische Freund, Der) (1977)",6021,5.0
413,American Gangster (2007),2063305,3.9
414,American Gigolo (1980),29192,2.7
415,American Graffiti (1973),144609,3.8
416,American Grindhouse (2010),87287,4.0
417,American Hardcore (2006),52299,3.5
418,"American Haunting, An (2005)",90722,1.5
419,American Heist (2015),126420,1.5
420,American History X (1998),300441,4.2
421,American Hustle (2013),1710656,3.2
422,American Made (2017),353502,4.5
423,American Me (1992),18066,2.5
424,American Movie (1999),18042,3.8
425,American Ninja (1985),9130,2.5
426,American Outlaws (2001),18884,2.1
427,American Pie (1999),278718,3.4
428,American Pie 2 (2001),212310,3.1
429,American Pie Presents Beta House (American Pie 6: Beta House) (2007),118858,2.8
430,American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),150567,1.2
431,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),278005,2.1
432,American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),219318,2.2
433,American Pop (1981),7450,3.5
434,"American President, The (1995)",770,3.7
435,American Psycho (2000),208565,3.8
436,American Psycho II: All American Girl (2002),27473,2.5
437,American Reunion (American Pie 4) (2012),375324,2.6
438,American Sniper (2014),1719930,3.8
439,American Splendor (2003),119160,3.8
440,"American Tail, An (1986)",38538,3.2
441,"American Tail: Fievel Goes West, An (1991)",21420,2.7
442,American Ultra (2015),844266,2.7
443,American Wedding (American Pie 3) (2003),105376,3.1
444,"American Werewolf in London, An (1981)",30383,3.4
445,"American Werewolf in Paris, An (1997)",27930,2.3
446,"American in Paris, An (1951)",10800,3.7
447,"American, The (2010)",320504,2.6
448,American: The Bill Hicks Story (2009),258870,4.0
449,"Americanization of Emily, The (1964)",8190,4.0
450,Americathon (1979),8427,1.5
451,Amistad (1997),32167,3.5
452,Amityville 1992: It's About Time (1992),3966,1.5
453,Amityville 3-D (1983),3969,1.7
454,"Amityville Curse, The (1990)",2656,0.8
455,"Amityville Horror, The (1979)",19905,2.6
456,"Amityville Horror, The (2005)",198510,2.2
457,Amityville II: The Possession (1982),5304,1.1
458,Amityville: A New Generation (1993),2650,1.2
459,Amityville: Dollhouse (1996),3972,1.2
460,Amores Perros (Love's a Bitch) (2000),97405,3.9
461,Amos & Andrew (1993),2880,1.5
462,Amy (2015),549348,3.5
463,Amy's O (a.k.a. Amy's Orgasm) (2001),5532,4.0
464,An Amazing Couple (2002),7264,4.0
465,Anacleto: Agente secreto (2015),150993,4.0
466,Anaconda (1997),40473,1.9
467,Anaconda: The Offspring (2008),95796,0.5
468,Anacondas: The Hunt for the Blood Orchid (2004),17660,1.8
469,Analyze That (2002),47200,2.6
470,Analyze This (1999),119333,3.1
471,"Anarchist Cookbook, The (2002)",6551,4.0
472,Anastasia (1956),6516,3.5
473,Anastasia (1997),33760,3.4
474,Anatomy of a Murder (1959),15204,4.0
475,Anchorman 2: The Legend Continues (2013),1180828,3.4
476,Anchorman: The Legend of Ron Burgundy (2004),492537,3.8
477,Anchors Aweigh (1945),17995,3.2
478,And God Created Woman (Et Dieu... créa la femme) (1956),3845,4.0
479,And Now... Ladies and Gentlemen... (2002),6588,4.0
480,And So It Goes (2014),112749,2.0
481,And Starring Pancho Villa as Himself (2003),27692,3.5
482,And Then There Were None (1945),19876,3.6
483,And Your Mother Too (Y tu mamá también) (2001),109725,4.0
484,And the Band Played On (1993),4142,3.2
485,And the Ship Sails On (E la nave va) (1983),2897,4.0
486,"Andalusian Dog, An (Chien andalou, Un) (1929)",103084,4.5
487,Andre (1994),2308,2.1
488,Andrei Rublev (Andrey Rublyov) (1969),26150,4.5
489,Andrew Dice Clay: Dice Rules (1991),193609,4.0
490,Android (1982),11838,4.5
491,"Andromeda Strain, The (1971)",50424,3.6
492,Angel Baby (1995),2856,3.0
493,Angel Eyes (2001),17220,1.6
494,Angel Heart (1987),29648,3.0
495,"Angel at My Table, An (1990)",6671,4.0
496,Angel's Egg (Tenshi no tamago) (1985),229254,3.2
497,Angel-A (2005),143175,3.5
498,Angela's Ashes (1999),9537,3.3
499,Angels & Demons (2009),1165418,3.3
500,Angels and Insects (1995),595,3.9
501,Angels in the Outfield (1994),27567,2.3
502,Angels with Dirty Faces (1938),17200,3.8
503,"Angels' Share, The (2012)",95939,4.0
504,Anger Management (2003),213758,3.1
505,Angie (1994),6788,2.0
506,"Angriest Man in Brooklyn, The (2014)",112580,4.0
507,"Angry Red Planet, The (1959)",4942,4.5
508,Angst  (1983),100306,3.5
509,Angus (1995),4900,3.2
510,"Angus, Thongs and Perfect Snogging (2008)",62718,2.5
511,Animal Crackers (1930),30824,4.1
512,Animal Factory (2000),8495,2.5
513,Animal Farm (1954),35347,1.0
514,Animal House (1978),212102,3.7
515,"Animal, The (2001)",47740,2.1
516,Animals are Beautiful People (1974),6408,5.0
517,"Animatrix, The (2003)",553200,3.7
518,Anna Christie (1930),8518,3.5
519,Anna Karenina (1935),14184,3.5
520,Anna Karenina (1997),1496,4.0
521,Anna Karenina (2012),97936,3.0
522,Anna and the King (1999),28395,3.7
523,Annabelle (2014),229426,3.0
524,Annabelle: Creation (2017),175199,4.0
525,Annapolis (2006),87112,2.8
526,Anne Frank Remembered (1995),580,3.9
527,Anne of Green Gables (1985),79584,4.5
528,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),148564,4.8
529,Anne of the Thousand Days (1969),8191,4.0
530,Annie (1982),64624,3.1
531,Annie Get Your Gun (1950),25959,2.5
532,Annie Hall (1977),71340,3.9
533,Annihilation (2018),548145,3.8
534,"Anniversary Party, The (2001)",13035,4.0
535,Anomalisa (2015),279710,3.2
536,Another 48 Hrs. (1990),25135,3.0
537,Another Cinderella Story (2008),91266,2.5
538,Another Earth (2011),89039,4.5
539,Another Gay Movie (2006),49735,3.5
540,Another Stakeout (1993),6640,2.5
541,Another Thin Man (1939),7831,3.5
542,Another Woman (1988),4393,4.5
543,"Ant Bully, The (2006)",94248,3.2
544,Ant-Man (2015),3318300,3.7
545,Ant-Man and the Wasp (2018),564903,3.7
546,Anthony Adverse (1936),8450,3.0
547,Anti-Social (2015),143001,1.5
548,Antichrist (2009),345670,3.8
549,Antitrust (2001),32416,3.6
550,Antonia's Line (Antonia) (1995),656,3.9
551,Antonio Gaudí (1985),90245,4.0
552,Antwone Fisher (2002),53595,3.6
553,Antz (1998),103230,3.2
554,Anvil! The Story of Anvil (2008),135330,3.8
555,Any Given Sunday (1999),57114,3.0
556,Any Which Way You Can (1980),9428,2.0
557,Anything Else (2003),20250,2.8
558,Anything for Her (Pour elle) (2008),83796,2.5
559,Anything for Love (2016),164753,2.0
560,Anywhere But Here (1999),9153,2.5
561,"Apartment, The (1960)",24543,4.0
562,"Apartment, The (Appartement, L') (1996)",6789,4.0
563,Apocalypse Now (1979),129256,4.2
564,Apocalypto (2006),917776,3.6
565,Apollo 13 (1995),30150,3.8
566,Apollo 18 (2011),92192,2.0
567,"Apostle, The (1997)",11858,3.0
568,Appaloosa (2008),61986,3.0
569,"Apple Dumpling Gang Rides Again, The (1979)",8064,2.9
570,"Apple Dumpling Gang, The (1975)",10070,2.6
571,"Apple, The (Sib) (1998)",2503,4.0
572,Applesauce (2015),148632,4.5
573,Appleseed (Appurushîdo) (2004),93552,3.8
574,April Fool's Day (1986),5320,1.5
575,April Morning (1988),137218,2.5
576,Apt Pupil (1998),20880,3.0
577,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),52462,3.0
578,Aquamarine (2006),88450,2.0
579,Arachnophobia (1990),143047,2.8
580,Ararat (2002),5817,4.5
581,Are We Done Yet? (2007),52279,1.5
582,Are We There Yet? (2005),31422,0.5
583,Are You Scared? (2006),59131,3.5
584,Argo (2012),2724512,4.0
585,Ari Shaffir: Double Negative (2017),176329,4.0
586,Ariel (1988),8940,3.0
587,"Aristocats, The (1970)",27720,3.4
588,"Aristocrats, The (2005)",343380,3.4
589,Arizona Dream (1993),49524,4.2
590,Arlington Road (1999),59554,3.3
591,Armageddon (1998),176364,3.1
592,Armed and Dangerous (1986),19664,2.8
593,Armour of God (Long xiong hu di) (1987),17280,3.1
594,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),20153,3.2
595,Army of Darkness (1993),61965,4.0
596,Army of Shadows (L'armée des ombres) (1969),46855,4.5
597,Around the World in 80 Days (1956),11424,3.6
598,Around the World in 80 Days (2004),25578,2.5
599,Arrival (2016),4268654,4.0
600,"Arrival, The (1996)",16456,3.1
601,Arsenic and Old Lace (1944),36801,3.9
602,Art School Confidential (2006),272640,3.3
603,"Art of Getting By, The (2011)",184878,3.0
604,"Art of War, The (2000)",7758,2.0
605,"Art of the Steal, The (2009)",163820,4.0
606,"Art of the Steal, The (2013)",326847,3.3
607,Artemisia (1997),3390,4.0
608,Arthur (1981),35240,2.8
609,Arthur (2011),517758,3.0
610,Arthur 2: On the Rocks (1988),13413,1.5
