,movieId,title,rating_count,rating_avg,imdbId,tmdbId,tags,posterUrl
27,28,Persuasion (1995),11,4.2,114117.0,17015.0,,NaN
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",38,4.0,112682.0,902.0,In Netflix queue| Jane Austen,NaN
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3,3.0,115012.0,37557.0,kidnapping,NaN
30,31,Dangerous Minds (1995),38,3.2,112792.0,9909.0,,NaN
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177,4.0,114746.0,63.0,high school| teacher,https://image.tmdb.org/t/p/w1280/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
32,34,Babe (1995),128,3.7,112431.0,9598.0,time travel| time travel| Brad Pitt| Bruce Willis| mindfuck| Post apocalyptic| post-apocalyptic| remake| time travel| twist ending,NaN
33,36,Dead Man Walking (1995),67,3.8,112818.0,687.0,,NaN
34,38,It Takes Two (1995),4,2.1,113442.0,33689.0,Animal movie| pigs| villain nonexistent or not needed for good story,NaN
35,39,Clueless (1995),104,3.3,112697.0,9603.0,,NaN
36,40,"Cry, the Beloved Country (1995)",2,4.2,112749.0,34615.0,death penalty| Nun,NaN
37,41,Richard III (1995),15,3.7,114279.0,31174.0,,NaN
38,42,Dead Presidents (1995),7,3.0,112819.0,11443.0,twins,NaN
39,43,Restoration (1995),8,3.2,114272.0,35196.0,chick flick| funny| Paul Rudd| quotable| seen more than once| Emma| Jane Austen,NaN
40,44,Mortal Kombat (1995),46,2.5,113855.0,9312.0,In Netflix queue| South Africa,NaN
41,45,To Die For (1995),32,3.3,114681.0,577.0,Shakespeare,NaN
42,46,How to Make an American Quilt (1995),15,3.1,113347.0,11861.0,,NaN
43,47,Seven (a.k.a. Se7en) (1995),203,4.0,114369.0,807.0,England,NaN
44,48,Pocahontas (1995),68,3.1,114148.0,10530.0,,NaN
45,49,When Night Is Falling (1995),1,3.0,114916.0,8391.0,Journalism,NaN
46,50,The Usual Suspects (1995),204,4.2,114814.0,629.0,wedding,https://image.tmdb.org/t/p/w1280/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg
47,52,Mighty Aphrodite (1995),28,3.5,113819.0,11448.0,mystery| twist ending| serial killer,NaN
48,53,Lamerica (1994),2,5.0,110299.0,49133.0,,NaN
49,54,"Big Green, The (1995)",3,2.3,112499.0,26441.0,,NaN
50,55,Georgia (1995),1,4.0,113158.0,97406.0,mindfuck| suspense| thriller| tricky| twist ending| heist,NaN
51,57,Home for the Holidays (1995),8,3.1,113321.0,9089.0,,NaN
52,58,"Postman, The (Postino, Il) (1994)",37,4.0,110877.0,11010.0,adoption| prostitution,NaN
53,60,"Indian in the Cupboard, The (1995)",34,3.2,113419.0,11359.0,,NaN
54,61,Eye for an Eye (1996),6,3.8,116260.0,17182.0,,NaN
55,62,Mr. Holland's Opus (1995),80,3.7,113862.0,2054.0,,NaN
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),7,2.7,116126.0,10607.0,,NaN
57,64,Two if by Sea (1996),5,2.2,118002.0,19760.0,,NaN
58,65,Bio-Dome (1996),31,2.5,115683.0,9536.0,writing,NaN
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),9,2.5,116839.0,11525.0,,NaN
60,68,French Twist (Gazon maudit) (1995),5,3.4,113149.0,4482.0,,NaN
61,69,Friday (1995),20,3.8,113118.0,10634.0,,NaN
62,70,From Dusk Till Dawn (1996),55,3.5,116367.0,755.0,music,NaN
63,71,Fair Game (1995),5,1.7,113010.0,11859.0,,NaN
64,72,Kicking and Screaming (1995),7,3.2,113537.0,28387.0,,NaN
65,73,"Misérables, Les (1995)",13,3.5,113828.0,48750.0,,NaN
66,74,Bed of Roses (1996),8,4.0,115644.0,20927.0,,NaN
67,75,Big Bully (1996),5,2.2,115676.0,36929.0,,NaN
68,76,Screamers (1995),15,3.4,114367.0,9102.0,,NaN
69,77,Nico Icon (1995),1,4.0,113973.0,124626.0,,NaN
70,78,"Crossing Guard, The (1995)",3,3.3,112744.0,27526.0,,NaN
71,79,"Juror, The (1996)",17,2.8,116731.0,9623.0,,NaN
72,80,"White Balloon, The (Badkonake sefid) (1995)",2,4.0,112445.0,46785.0,,NaN
73,81,Things to Do in Denver When You're Dead (1995),14,3.1,114660.0,400.0,,NaN
74,82,Antonia's Line (Antonia) (1995),8,3.9,112379.0,880.0,,NaN
75,83,Once Upon a Time... When We Were Colored (1995),1,3.0,114039.0,146599.0,,NaN
76,85,Angels and Insects (1995),7,3.9,112365.0,8447.0,,NaN
77,86,White Squall (1996),15,4.0,118158.0,10534.0,,NaN
78,87,Dunston Checks In (1996),7,2.5,116151.0,17414.0,,NaN
79,88,Black Sheep (1996),16,3.2,115697.0,13997.0,,NaN
80,89,Nick of Time (1995),10,3.2,113972.0,2086.0,,NaN
81,92,Mary Reilly (1996),8,2.6,117002.0,9095.0,,NaN
82,93,Vampire in Brooklyn (1995),9,2.8,114825.0,12158.0,,NaN
83,94,Beautiful Girls (1996),10,4.0,115639.0,9283.0,,NaN
84,95,Broken Arrow (1996),84,3.0,115759.0,9208.0,,NaN
85,96,In the Bleak Midwinter (1995),1,3.5,113403.0,40154.0,,NaN
86,97,"Hate (Haine, La) (1995)",10,3.9,113247.0,406.0,,NaN
87,99,Heidi Fleiss: Hollywood Madam (1995),2,5.0,113283.0,63076.0,,NaN
88,100,City Hall (1996),14,2.8,115907.0,11062.0,,NaN
89,101,Bottle Rocket (1996),23,3.8,115734.0,13685.0,,NaN
90,102,Mr. Wrong (1996),5,2.4,117102.0,47475.0,,NaN
91,103,Unforgettable (1996),3,3.0,118040.0,2045.0,,NaN
92,104,Happy Gilmore (1996),99,3.4,116483.0,9614.0,Jekyll and Hyde,NaN
93,105,"Bridges of Madison County, The (1995)",23,3.3,112579.0,688.0,,NaN
94,106,Nobody Loves Me (Keiner liebt mich) (1994),1,4.0,110251.0,11907.0,,NaN
95,107,Muppet Treasure Island (1996),26,3.3,117110.0,10874.0,,NaN
96,108,Catwalk (1996),1,4.0,112646.0,89333.0,theater,NaN
97,110,Braveheart (1995),237,4.0,112573.0,197.0,,NaN
98,111,Taxi Driver (1976),104,4.1,75314.0,103.0,,https://image.tmdb.org/t/p/w1280/ekstpH614fwDX8DUln1a2Opz0N8.jpg
99,112,Rumble in the Bronx (Hont faan kui) (1995),46,3.5,113326.0,33542.0,,NaN
100,113,Before and After (1996),3,3.3,115645.0,43566.0,,NaN
101,116,Anne Frank Remembered (1995),5,3.9,112373.0,51352.0,crime| off-beat comedy| quirky,NaN
102,117,"Young Poisoner's Handbook, The (1995)",1,3.0,115033.0,16934.0,,NaN
103,118,If Lucy Fell (1996),2,2.5,116606.0,10324.0,,NaN
104,119,"Steal Big, Steal Little (1995)",2,3.0,114536.0,78406.0,test tag| golf| Adam Sandler,NaN
105,121,"Boys of St. Vincent, The (1992)",2,4.0,106473.0,32119.0,,NaN
106,122,Boomerang (1992),16,2.7,103859.0,11066.0,,NaN
107,123,Chungking Express (Chung Hing sam lam) (1994),4,4.4,109424.0,11104.0,muppets,NaN
108,125,Flirting With Disaster (1996),12,3.6,116324.0,2074.0,,NaN
109,126,"NeverEnding Story III, The (1994)",7,2.0,110647.0,27793.0,,NaN
110,128,Jupiter's Wife (1994),1,3.0,110217.0,290157.0,beautiful scenery| epic| historical| inspirational| Medieval| mel gibson| Oscar (Best Cinematography)| revenge| sword fight| Scotland,NaN
111,129,Pie in the Sky (1996),1,2.0,114131.0,110972.0,assassination,NaN
112,132,Jade (1995),6,2.8,113451.0,11863.0,,NaN
113,135,Down Periscope (1996),31,3.0,116130.0,9101.0,,NaN
114,137,Man of the Year (1995),1,3.0,113756.0,5757.0,,NaN
115,140,Up Close and Personal (1996),16,3.5,118055.0,9302.0,,NaN
116,141,"Birdcage, The (1996)",86,3.5,115685.0,11000.0,Holocaust,NaN
117,144,"Brothers McMullen, The (1995)",12,3.3,112585.0,16388.0,,NaN
118,145,Bad Boys (1995),51,3.2,112442.0,9737.0,,NaN
119,146,"Amazing Panda Adventure, The (1995)",3,3.3,112342.0,30765.0,,NaN
120,147,"Basketball Diaries, The (1995)",15,3.5,112461.0,10474.0,,NaN
121,148,"Awfully Big Adventure, An (1995)",1,5.0,112427.0,22279.0,,NaN
122,149,Amateur (1994),1,2.0,109093.0,30157.0,dating,NaN
123,150,Apollo 13 (1995),201,3.8,112384.0,568.0,,NaN
124,151,Rob Roy (1995),44,3.5,114287.0,11780.0,,NaN
125,152,"Addiction, The (1995)",2,1.5,112288.0,34996.0,,NaN
126,153,Batman Forever (1995),137,2.9,112462.0,414.0,,NaN
127,154,Beauty of the Day (Belle de jour) (1967),12,3.9,61395.0,649.0,,NaN
128,155,Beyond Rangoon (1995),6,2.4,112495.0,1873.0,,NaN
129,156,Blue in the Face (1995),3,3.3,112541.0,5894.0,,NaN
130,157,Canadian Bacon (1995),11,2.9,109370.0,1775.0,,NaN
131,158,Casper (1995),62,2.8,112642.0,8839.0,,NaN
132,159,Clockers (1995),14,2.9,112688.0,20649.0,,NaN
133,160,Congo (1995),57,2.9,112715.0,10329.0,,NaN
134,161,Crimson Tide (1995),103,3.6,112740.0,8963.0,,NaN
135,162,Crumb (1994),17,4.2,109508.0,26564.0,,NaN
136,163,Desperado (1995),66,3.6,112851.0,8068.0,,NaN
137,164,Devil in a Blue Dress (1995),14,3.3,112857.0,8512.0,,NaN
138,165,Die Hard: With a Vengeance (1995),144,3.6,112864.0,1572.0,,NaN
139,166,"Doom Generation, The (1995)",3,2.8,112887.0,13552.0,,NaN
140,168,First Knight (1995),54,3.1,113071.0,6520.0,journalism,NaN
141,169,Free Willy 2: The Adventure Home (1995),10,2.4,113114.0,9073.0,,NaN
142,170,Hackers (1995),35,3.2,113243.0,10428.0,,NaN
143,171,Jeffrey (1995),6,3.8,113464.0,17447.0,,NaN
144,172,Johnny Mnemonic (1995),53,2.7,113481.0,9886.0,,NaN
145,173,Judge Dredd (1995),62,2.7,113492.0,9482.0,,NaN
146,174,Jury Duty (1995),10,2.7,113500.0,19326.0,,NaN
147,175,Kids (1995),20,4.0,113540.0,9344.0,addiction| heroin| Leonardo DiCaprio| Mark Wahlberg,NaN
148,176,Living in Oblivion (1995),13,4.3,113677.0,9071.0,,NaN
149,177,Lord of Illusions (1995),8,2.8,113690.0,8973.0,,NaN
150,178,Love & Human Remains (1993),1,1.0,107447.0,15730.0,moon| NASA| space,NaN
151,179,Mad Love (1995),2,1.5,113729.0,47608.0,,NaN
152,180,Mallrats (1995),36,3.4,113749.0,2293.0,,NaN
153,181,Mighty Morphin Power Rangers: The Movie (1995),17,2.3,113820.0,9070.0,superhero| superhero,NaN
154,183,Mute Witness (1994),2,3.5,110604.0,48787.0,,NaN
155,184,Nadja (1994),2,3.5,110620.0,34574.0,,NaN
156,185,"Net, The (1995)",112,3.0,113957.0,1642.0,,NaN
157,186,Nine Months (1995),48,2.8,113986.0,11472.0,,NaN
158,187,Party Girl (1995),4,4.1,114095.0,36196.0,,NaN
159,188,"Prophecy, The (1995)",12,3.5,114194.0,11980.0,,NaN
160,189,Reckless (1995),1,3.0,114241.0,58372.0,Michael Crichton,NaN
161,190,Safe (1995),5,2.8,114323.0,32646.0,submarine,NaN
162,191,"Scarlet Letter, The (1995)",6,2.4,114345.0,10533.0,In Netflix queue,NaN
163,193,Showgirls (1995),35,2.5,114436.0,10802.0,,NaN
164,194,Smoke (1995),18,3.7,114478.0,10149.0,,NaN
165,195,Something to Talk About (1995),10,3.1,114496.0,18402.0,,NaN
166,196,Species (1995),45,2.7,114508.0,9348.0,,NaN
167,198,Strange Days (1995),28,3.2,114558.0,281.0,,NaN
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4,4.1,58450.0,5967.0,,NaN
169,201,Three Wishes (1995),1,3.0,114663.0,47939.0,,NaN
170,202,Total Eclipse (1995),1,3.0,114702.0,36834.0,,NaN
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",22,3.4,114682.0,9090.0,,NaN
172,204,Under Siege 2: Dark Territory (1995),30,2.7,114781.0,3512.0,,NaN
173,205,Unstrung Heroes (1995),9,3.2,114798.0,52856.0,,NaN
174,206,Unzipped (1995),2,3.0,114805.0,77350.0,,NaN
175,207,"Walk in the Clouds, A (1995)",21,3.4,114887.0,9560.0,controversial| New York City| Nudity (Full Frontal),NaN
176,208,Waterworld (1995),115,2.9,114898.0,9804.0,,NaN
177,209,White Man's Burden (1995),3,3.2,114928.0,31611.0,,NaN
178,210,Wild Bill (1995),4,3.0,114938.0,65796.0,,NaN
179,211,"Browning Version, The (1994)",2,3.5,109340.0,49805.0,,NaN
180,212,Bushwhacked (1995),3,3.0,112602.0,26258.0,,NaN
181,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),6,3.8,111579.0,50797.0,,NaN
182,214,Before the Rain (Pred dozhdot) (1994),2,4.0,110882.0,19155.0,,NaN
183,215,Before Sunrise (1995),24,4.0,112471.0,76.0,,NaN
184,216,Billy Madison (1995),49,3.3,112508.0,11017.0,,NaN
185,217,"Babysitter, The (1995)",6,2.3,112438.0,37141.0,computers,NaN
186,218,Boys on the Side (1995),14,3.4,112571.0,9382.0,,NaN
187,219,"Cure, The (1995)",1,3.0,112757.0,6715.0,,NaN
188,220,Castle Freak (1995),1,3.0,112643.0,18256.0,,NaN
189,222,Circle of Friends (1995),16,3.8,112679.0,22625.0,,NaN
190,223,Clerks (1994),104,3.9,109445.0,2292.0,,NaN
191,224,Don Juan DeMarco (1995),40,3.6,112883.0,1909.0,,NaN
192,225,Disclosure (1994),52,3.5,109635.0,8984.0,,NaN
193,227,Drop Zone (1994),22,2.9,109676.0,4954.0,,NaN
194,228,Destiny Turns on the Radio (1995),3,2.3,112854.0,62488.0,,NaN
195,229,Death and the Maiden (1994),7,3.4,109579.0,10531.0,,NaN
196,230,Dolores Claiborne (1995),24,3.4,109642.0,11929.0,,NaN
197,231,Dumb & Dumber (Dumb and Dumber) (1994),133,3.1,109686.0,8467.0,,NaN
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994),14,3.9,111797.0,10451.0,,NaN
199,233,Exotica (1994),12,3.5,109759.0,20156.0,Made me cry,NaN
200,234,Exit to Eden (1994),17,2.6,109758.0,18395.0,,NaN
201,235,Ed Wood (1994),70,3.7,109707.0,522.0,,NaN
202,236,French Kiss (1995),45,3.5,113117.0,397.0,,NaN
203,237,Forget Paris (1995),22,3.3,113097.0,10525.0,,NaN
204,238,Far From Home: The Adventures of Yellow Dog (1995),2,4.0,113028.0,27985.0,,NaN
205,239,"Goofy Movie, A (1995)",17,3.0,113198.0,15789.0,,NaN
206,240,Hideaway (1995),4,2.4,113303.0,27303.0,,NaN
207,241,Fluke (1995),1,4.0,113089.0,21183.0,,NaN
208,242,Farinelli: il castrato (1994),5,3.6,109771.0,10954.0,,NaN
209,243,Gordy (1995),1,3.0,113199.0,47867.0,,NaN
210,246,Hoop Dreams (1994),29,4.3,110057.0,14275.0,,NaN
211,247,Heavenly Creatures (1994),21,3.9,110005.0,1024.0,,NaN
212,248,Houseguest (1994),17,3.2,110066.0,17207.0,,NaN
213,249,Immortal Beloved (1994),18,3.7,110116.0,13701.0,,NaN
214,250,Heavyweights (Heavy Weights) (1995),6,2.5,110006.0,14819.0,,NaN
215,251,"Hunted, The (1995)",3,3.0,113360.0,32631.0,generation X,NaN
216,252,I.Q. (1994),43,3.5,110099.0,11777.0,school| Adam Sandler| stop looking at me swan,NaN
217,253,Interview with the Vampire: The Vampire Chronicles (1994),109,3.5,110148.0,628.0,,NaN
218,254,Jefferson in Paris (1995),1,3.0,113463.0,87729.0,,NaN
219,255,"Jerky Boys, The (1995)",7,2.1,110189.0,18713.0,,NaN
220,256,Junior (1994),35,2.8,110216.0,6280.0,,NaN
221,257,Just Cause (1995),14,3.5,113501.0,9061.0,,NaN
222,258,"Kid in King Arthur's Court, A (1995)",10,2.6,113538.0,37108.0,Ireland,NaN
223,259,Kiss of Death (1995),5,3.2,113552.0,6071.0,cynical| hilarious| independent film| quirky| witty| generation X,NaN
224,260,Star Wars: Episode IV - A New Hope (1977),251,4.2,76759.0,11.0,mental illness| psychology,https://image.tmdb.org/t/p/w1280/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg
225,261,Little Women (1994),42,3.9,110367.0,9587.0,,NaN
226,262,"Little Princess, A (1995)",21,3.9,113670.0,19101.0,,NaN
227,263,Ladybird Ladybird (1994),1,4.0,110296.0,49980.0,,NaN
228,265,Like Water for Chocolate (Como agua para chocolate) (1992),33,3.9,103994.0,18183.0,,NaN
229,266,Legends of the Fall (1994),68,3.4,110322.0,4476.0,,NaN
230,267,Major Payne (1995),17,2.9,110443.0,11008.0,Stephen King,NaN
231,269,My Crazy Life (Mi vida loca) (1993),2,3.0,107566.0,32325.0,,NaN
232,270,Love Affair (1994),5,3.4,110391.0,43742.0,In Netflix queue,NaN
233,271,Losing Isaiah (1995),4,3.5,113691.0,28313.0,,NaN
234,272,"Madness of King George, The (1994)",31,3.8,110428.0,11318.0,,NaN
235,273,Mary Shelley's Frankenstein (Frankenstein) (1994),28,2.9,109836.0,3036.0,movie business,NaN
236,274,Man of the House (1995),7,2.9,113755.0,40490.0,,NaN
237,275,Mixed Nuts (1994),6,2.0,110538.0,24070.0,basketball| France| infertility,NaN
238,276,Milk Money (1994),22,3.2,110516.0,8986.0,,NaN
239,277,Miracle on 34th Street (1994),38,3.2,110527.0,10510.0,,NaN
240,278,Miami Rhapsody (1995),2,1.5,113808.0,17402.0,,NaN
241,279,My Family (1995),2,3.0,113896.0,38722.0,,NaN
242,280,Murder in the First (1995),13,4.1,113870.0,8438.0,,NaN
243,281,Nobody's Fool (1994),14,3.8,110684.0,11593.0,,NaN
244,282,Nell (1994),40,3.3,110638.0,1945.0,,NaN
245,283,New Jersey Drive (1995),3,3.7,113967.0,39310.0,,NaN
246,284,New York Cop (Nyû Yôku no koppu) (1993),1,4.5,117169.0,109560.0,basketball,NaN
247,285,Beyond Bedlam (1993),1,4.0,106402.0,56428.0,Australia,NaN
248,287,Nina Takes a Lover (1994),1,3.0,110671.0,131957.0,bad| Sinbad,NaN
249,288,Natural Born Killers (1994),92,3.2,110632.0,241.0,Beethoven,NaN
250,289,Only You (1994),8,3.6,110737.0,9058.0,,NaN
251,290,Once Were Warriors (1994),14,4.0,110729.0,527.0,,NaN
252,291,Poison Ivy II (1996),3,2.3,114151.0,18220.0,Einstein,NaN
253,292,Outbreak (1995),101,3.4,114069.0,6950.0,,NaN
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133,4.0,110413.0,101.0,,NaN
255,294,"Perez Family, The (1995)",2,3.0,114113.0,63020.0,,NaN
256,295,"Pyromaniac's Love Story, A (1995)",1,3.0,114210.0,2307.0,,NaN
257,296,Pulp Fiction (1994),307,4.2,110912.0,680.0,court,https://image.tmdb.org/t/p/w1280/dM2w364MScsjFf8pfMbaWUcWrR.jpg
258,298,Pushing Hands (Tui shou) (1992),1,2.0,105652.0,25296.0,,NaN
259,299,Priest (1994),4,4.0,110889.0,40156.0,,NaN
260,300,Quiz Show (1994),81,3.5,110932.0,11450.0,classic| space action| action| sci-fi| EPIC| great soundtrack| classic sci-fi| engrossing adventure| EPIC| classic| Nerd| classic sci-fi| space action| space epic| oldie but goodie| sci-fi| Star Wars| ROBOTS AND ANDROIDS| space| classic sci-fi| sci-fi| space adventure| Star Wars| darth vader| luke skywalker| space opera,NaN
261,301,Picture Bride (Bijo photo) (1994),1,4.0,114129.0,30304.0,Louisa May Alcott,NaN
262,302,"Queen Margot (Reine Margot, La) (1994)",5,3.2,110963.0,10452.0,England| Girl Power| India,NaN
263,303,"Quick and the Dead, The (1995)",32,3.0,114214.0,12106.0,,NaN
264,304,Roommates (1995),3,3.7,114296.0,161495.0,,NaN
265,305,Ready to Wear (Pret-A-Porter) (1994),9,2.8,110907.0,3586.0,,NaN
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),16,4.2,111495.0,110.0,,NaN
267,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),24,3.9,108394.0,108.0,,NaN
268,308,Three Colors: White (Trzy kolory: Bialy) (1994),20,4.0,111507.0,109.0,,NaN
269,310,Rent-a-Kid (1995),1,3.0,114268.0,36357.0,,NaN
270,311,Relative Fear (1994),1,3.0,110965.0,92769.0,,NaN
271,312,Stuart Saves His Family (1995),9,1.4,114571.0,28033.0,,NaN
272,313,"Swan Princess, The (1994)",3,3.3,111333.0,22586.0,England| mental illness,NaN
273,314,"Secret of Roan Inish, The (1994)",16,3.8,111112.0,14334.0,gothic,NaN
274,315,"Specialist, The (1994)",38,3.1,111255.0,2636.0,,NaN
275,316,Stargate (1994),140,3.4,111282.0,2164.0,,NaN
276,317,"Santa Clause, The (1994)",81,3.2,111070.0,11395.0,,NaN
277,318,The Shawshank Redemption (1994),317,4.4,111161.0,278.0,Christmas,https://image.tmdb.org/t/p/w1280/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg
278,319,Shallow Grave (1994),20,3.6,111149.0,9905.0,,NaN
279,320,Suture (1993),1,3.0,108260.0,87078.0,In Netflix queue,NaN
280,321,Strawberry and Chocolate (Fresa y chocolate) (1993),2,4.0,106966.0,12527.0,prison,NaN
281,322,Swimming with Sharks (1995),10,3.5,114594.0,20306.0,,NaN
282,324,"Sum of Us, The (1994)",1,4.0,111309.0,36614.0,disability| twins,NaN
283,325,National Lampoon's Senior Trip (1995),7,2.5,113936.0,27993.0,,NaN
284,326,To Live (Huozhe) (1994),3,4.0,110081.0,31439.0,,NaN
285,327,Tank Girl (1995),34,2.8,114614.0,9067.0,,NaN
286,328,Tales from the Crypt Presents: Demon Knight (1995),10,3.1,114608.0,9059.0,,NaN
287,329,Star Trek: Generations (1994),108,3.4,111280.0,193.0,,NaN
288,330,Tales from the Hood (1995),6,3.0,114609.0,25066.0,brutality| controversial| dark comedy| psychedelic| satire| stylized,NaN
289,331,Tom & Viv (1994),2,3.0,111454.0,46797.0,,NaN
290,332,Village of the Damned (1995),12,2.8,114852.0,12122.0,In Netflix queue,NaN
291,333,Tommy Boy (1995),50,3.8,114694.0,11381.0,,NaN
292,334,Vanya on 42nd Street (1994),5,4.2,111590.0,32636.0,,NaN
293,335,Underneath (1995),2,3.5,114788.0,36141.0,assassin| Jean Reno| hit men| Action| assassin| assassination| assassins| awkward romance| corruption| crime| disturbing| drama| French| friendship| Gary Oldman| great acting| Guns| hit men| hitman| humorous| imdb top 250| Jean Reno| Lolita theme| loneliness| love story| Luc Besson| Natalie Portman| organized crime| police| police corruption| quirky| sniper| tense| touching| unique,NaN
294,336,"Walking Dead, The (1995)",1,3.0,114888.0,95963.0,,NaN
295,337,What's Eating Gilbert Grape (1993),77,3.8,108550.0,1587.0,,NaN
296,338,Virtuosity (1995),19,2.8,114857.0,9271.0,"good dialogue| great soundtrack| non-linear| cult film| drugs| Quentin Tarantino| Tarantino| hit men| 1990s| achronological| action| action packed| aggressive| amazing| amazing dialogues| anthology| assassin| atmospheric| AWESOME| bad ass| bad language| bad-ass| bible| biblical references| big boys with guns| big name actors| Black comedy| black humor| black humour| blood| blood splatters| bloody| bruce willis| brutality| casual violence| character development| characters| classic| classic movie| coke| comedy| conversation| cool| cool style| crime| crime scene scrubbing| cult| cult classic| cult film| dance| dancing| dark| dark comedy| dark humor| dialogue| different| diner| disjointed timeline| disturbing| drama| drug overdose| drugs| drugs & music| ensemble cast| entertaining| entirely dialogue| episodic| exciting| fast paced| fast-paced| film noir| film-noir| foul language| fun| funny| gangster| gangsters| genius| golden watch| good dialogue| good music| gore| great acting| great dialogue| great soundtrack| gritty| guns| Harvey Keitel| heroin| Highly quotable| hit men| hitman| homosexuality| humour| iconic| imdb top 250| innovative| intellectual| intelligent| intense| interesting| intertwining storylines| interwoven storylines| ironic| irony| John Travolta| killer-as-protagonist| los angeles| Mafia| masterpiece| meaningless violence| milkshake| mobster| mobsters| monologue| motherfucker| multiple stories| multiple storylines| neo-noir| noir| non-linear| non-linear timeline| nonlinear| nonlinear narrative| nonlinear storyline| nonlinear timeline| notable soundtrack| offensive| organised crime| organized crime| original| original plot| out of order', ""Palme d'Or"", 'parody| philosophical| pop culture references| psychological| pulp| Quentin Tarantino| quirky| Quotable| r:disturbing violent content including rape| r:disturbing violent images| r:graphic sexuality| r:some violence| r:strong bloody violence| r:strong language| r:sustained strong stylized violence| r:violence| random| rape| retro| Roger Avary| royal with cheese| Samuel L. Jackson| sarcasm| satire| sexy| smart writing| sophisticated| soundtrack| splatter| Steve Buscemi| storytelling| stylish| stylized| suspense| Tarantino| thought-provoking| thriller| travolta| twist ending| Uma Thurman| unique| unpredictable| unusual| very funny| violence| violent| witty",NaN
297,339,While You Were Sleeping (1995),98,3.5,114924.0,2064.0,,NaN
298,340,"War, The (1994)",5,3.4,111667.0,19855.0,,NaN
299,341,Double Happiness (1994),2,4.0,109655.0,60855.0,,NaN
300,342,Muriel's Wedding (1994),33,3.3,110598.0,236.0,TV,NaN
301,343,"Baby-Sitters Club, The (1995)",5,2.9,112435.0,48287.0,,NaN
302,344,Ace Ventura: Pet Detective (1994),161,3.0,109040.0,3049.0,,NaN
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",36,3.6,109045.0,2759.0,,NaN
304,346,Backbeat (1993),6,3.5,106339.0,12635.0,,NaN
305,347,Bitter Moon (1992),6,3.5,104779.0,10497.0,,NaN
306,348,Bullets Over Broadway (1994),30,3.6,109348.0,11382.0,,NaN
